Epoka , blad_glowny 
1 , 0.6664938851584055
10 , 0.38888018519515705
20 , 0.3771746411386655
30 , 0.3697907250916723
40 , 0.36004137495036215
50 , 0.34684961041901957
60 , 0.3301465072336658
70 , 0.3096925789069403
80 , 0.28672234556578724
90 , 0.2631782457954771
100 , 0.24153550718972544
110 , 0.22245988368011202
120 , 0.20637161798096645
130 , 0.19304937750205034
140 , 0.1823340784735902
150 , 0.17368353516566154
160 , 0.16622683304749528
170 , 0.16005705587014768
180 , 0.15450512137678007
190 , 0.14994755540003704
200 , 0.14618363192043068
210 , 0.14267992491726553
220 , 0.1395776019945527
230 , 0.1367344856913565
240 , 0.1339485704178523
250 , 0.13171441767562375
260 , 0.1296834506376971
270 , 0.12763679070784664
280 , 0.12572305649731064
290 , 0.12375841299965451
300 , 0.12177106418247968
310 , 0.11969427767861998
320 , 0.1172844575056224
330 , 0.11443699888213854
340 , 0.11173489667770438
350 , 0.10832158154935478
360 , 0.10445277384742205
370 , 0.10011107632814176
380 , 0.09542418952153939
390 , 0.09023188187450204
400 , 0.08502513819055231
410 , 0.07975954119254867
420 , 0.0745618330359868
430 , 0.06955084110015995
440 , 0.0648341173460202
450 , 0.06041732497199597
460 , 0.05625386750757434
470 , 0.052470637779869746
480 , 0.04902336248046789
490 , 0.04589275060035707
500 , 0.04303416209887265
510 , 0.04045833493074784
520 , 0.03810981312676479
530 , 0.03597028311232895
540 , 0.034030779029254075
550 , 0.032259098745768926
560 , 0.03065015911406212
570 , 0.029181530191051505
580 , 0.02783056102439796
590 , 0.026594231693435503
600 , 0.025453429679483934
610 , 0.024402274769950754
620 , 0.02342624616941395
630 , 0.022523152465034592
640 , 0.021685110197828174
650 , 0.020902652507933474
660 , 0.020172204614205165
670 , 0.019488849084659234
680 , 0.018847091549459002
690 , 0.01824435265226776
700 , 0.017677514475516937
710 , 0.017143975382707035
720 , 0.016638974882297566
730 , 0.016161007867776443
740 , 0.015708664832548177
750 , 0.015280023856262693
760 , 0.014872208419498333
770 , 0.01448468398830341
780 , 0.014115486894135451
790 , 0.013763576841642759
800 , 0.013427294734069659
810 , 0.013106422647314006
820 , 0.012799773840719822
830 , 0.012506407435464124
840 , 0.012225054997609343
850 , 0.011955172122148342
860 , 0.011696169364704731
870 , 0.011447584239802284
880 , 0.011208650423710356
890 , 0.010978894284671942
900 , 0.010757908082471958
910 , 0.010544799583595993
920 , 0.010339386847340091
930 , 0.010141624930162218
938 , 0.009988276881777622
