Epoka , blad_glowny 
1 , 0.5003426872574002
10 , 0.37876554330451306
20 , 0.3581948472868131
30 , 0.33838308008517565
40 , 0.3157959697913102
50 , 0.29189750341453186
60 , 0.267902859738453
70 , 0.24477677752045557
80 , 0.2239508152381159
90 , 0.20630343623940778
100 , 0.19149232038173153
110 , 0.17955409946059564
120 , 0.16987080291485182
130 , 0.161796128841793
140 , 0.1550869660976446
150 , 0.14917277698775916
160 , 0.14431175165370416
170 , 0.1402877879788494
180 , 0.1365432270844142
190 , 0.13328192838479216
200 , 0.130547105429296
210 , 0.12805748943973103
220 , 0.12562978641085568
230 , 0.12363125056520412
240 , 0.12161661121218298
250 , 0.11985113398772385
260 , 0.11841514312653326
270 , 0.11668035397798399
280 , 0.11526318595689489
290 , 0.11367866490167976
300 , 0.11205363352456911
310 , 0.11013832452907718
320 , 0.10806855988854348
330 , 0.10585774108534707
340 , 0.10290710365002335
350 , 0.09915926362323733
360 , 0.09459600227747919
370 , 0.08915328324847008
380 , 0.08317686274706558
390 , 0.07716976752990994
400 , 0.07115681396211868
410 , 0.0654633799462825
420 , 0.06018016899413876
430 , 0.05533287041067012
440 , 0.051036204550138804
450 , 0.04713529058152366
460 , 0.043743133361332905
470 , 0.04067379296189907
480 , 0.03789620782966188
490 , 0.03545127616939191
500 , 0.03326806877399161
510 , 0.031308961280548955
520 , 0.0295755531426168
530 , 0.027960025269245382
540 , 0.02651042984959683
550 , 0.025189302364736137
560 , 0.023985022345933294
570 , 0.022872480296968593
580 , 0.021876970029152922
590 , 0.020947744238862073
600 , 0.02009046134085885
610 , 0.019286798783941916
620 , 0.01856354220122868
630 , 0.01787459030458052
640 , 0.017243292909682125
650 , 0.016652334108414723
660 , 0.016096513265777435
670 , 0.015577887368586313
680 , 0.015085043393380373
690 , 0.014627645983948667
700 , 0.014196894676726066
710 , 0.013793383468603955
720 , 0.013408379787098341
730 , 0.013045315777660903
740 , 0.012700293650453975
750 , 0.01237127064157279
760 , 0.012060929494021294
770 , 0.011766032311276367
780 , 0.011485657086119537
790 , 0.011219688472500471
800 , 0.010963802806193143
810 , 0.010719730112035385
820 , 0.010484717423768799
830 , 0.010261363862189147
840 , 0.010048566254696377
850 , 0.0098434649829858
860 , 0.009646770281590621
870 , 0.009457474752920442
880 , 0.009274815602699818
890 , 0.009100211388139651
900 , 0.008933047191335166
910 , 0.008770765375794366
920 , 0.008614784923578115
930 , 0.008463968237835517
940 , 0.008317883019294377
950 , 0.008177515028392394
960 , 0.00804186274114041
970 , 0.007911265575976377
980 , 0.0077843720186549815
990 , 0.0076614794876543576
1000 , 0.007542489664179212
1010 , 0.007427304457447861
1020 , 0.007315443414286484
1030 , 0.0072066332809088115
1040 , 0.007101871328114953
1050 , 0.006999389137218072
1060 , 0.006900614450755818
1070 , 0.006804219811005974
1080 , 0.006710216073531364
1090 , 0.006619519400354517
1100 , 0.006530861809569906
1110 , 0.006444314421721976
1120 , 0.006360368358964076
1130 , 0.00627892623461067
1140 , 0.006198954199016045
1150 , 0.0061213230409695295
1160 , 0.006045923060730677
1170 , 0.005972095676636199
1180 , 0.005900086001294717
