Epoka , blad_glowny 
1 , 0.7959416724420458
10 , 0.4647290088780669
20 , 0.37365279258399403
30 , 0.35525636671558036
40 , 0.3469322493831372
50 , 0.33999351861073734
60 , 0.33288960228898257
70 , 0.325269107489149
80 , 0.3171891285033317
90 , 0.30865988347323736
100 , 0.29988738550997457
110 , 0.2910566826806261
120 , 0.2822555424932771
130 , 0.27361518180853145
140 , 0.2653243565153599
150 , 0.25739797303752054
160 , 0.24993347121284837
170 , 0.2428426921192192
180 , 0.23621854120571778
190 , 0.2300584931811453
200 , 0.2242839309505332
210 , 0.21898138549064744
220 , 0.2139844933098316
230 , 0.2093800156062985
240 , 0.20509499087768307
250 , 0.20114763065744518
260 , 0.19743611900213037
270 , 0.19400519629829344
280 , 0.19077383422691446
290 , 0.1877665734225467
300 , 0.18498899407125396
310 , 0.18236567305054427
320 , 0.17995237644800574
330 , 0.17764930234911597
340 , 0.1755045257083032
350 , 0.17351431901503936
360 , 0.17163196240682752
370 , 0.16983825899336868
380 , 0.16817884926395332
390 , 0.1666124681045062
400 , 0.1651470098778152
410 , 0.16375523247147028
420 , 0.16244203991090125
430 , 0.16118927588736004
440 , 0.16000826243329472
450 , 0.15890976661424197
460 , 0.15783790274211104
470 , 0.15685210586744275
480 , 0.1558927903206923
490 , 0.15496786734167736
500 , 0.1541021544913264
510 , 0.1533006075240016
520 , 0.15250215437650755
530 , 0.15173831794284265
540 , 0.15100345864341058
550 , 0.15030529741064835
560 , 0.14965355032724217
570 , 0.14898587151028417
580 , 0.1483775669390327
590 , 0.14776106009449527
600 , 0.1471471803837961
610 , 0.1465811350314276
620 , 0.14601395024828143
630 , 0.14545899361634937
640 , 0.14490609444208175
650 , 0.14436729652815272
660 , 0.1438430422469358
670 , 0.14330048515596988
680 , 0.14276848884698348
690 , 0.1422465371793006
700 , 0.14170251282630783
710 , 0.14114959737261792
720 , 0.1405908436208813
730 , 0.14002995949328215
740 , 0.1394462936632597
750 , 0.13883693829451613
760 , 0.13821065429728185
770 , 0.1375372142936352
780 , 0.13684180629365256
790 , 0.13608966707414016
800 , 0.13530465307585038
810 , 0.1344426404040851
820 , 0.1335357515533024
830 , 0.13254330276982187
840 , 0.13146964869548797
850 , 0.13028431104325902
860 , 0.1290241317661624
870 , 0.12762900205710662
880 , 0.12612851183914206
890 , 0.12449884532803443
900 , 0.122740880152884
910 , 0.12085851777225794
920 , 0.1188295745418322
930 , 0.11669335077284845
940 , 0.11443866045805298
950 , 0.1120737631540886
960 , 0.10961731637192385
970 , 0.10708232648964879
980 , 0.10449379712067133
990 , 0.10184522865004778
1000 , 0.09918555616006268
1010 , 0.0965378585012514
1020 , 0.09388108646232281
1030 , 0.09128388087766874
1040 , 0.08872318331028595
1050 , 0.08621805995374514
1060 , 0.08378453088220984
1070 , 0.08142267365145478
1080 , 0.07914094520205735
1090 , 0.07694508331218251
1100 , 0.07482146305607773
1110 , 0.07277298728808003
1120 , 0.07080215519268958
1130 , 0.06891595716955982
1140 , 0.06709748531053605
1150 , 0.06534747745212374
1160 , 0.06366834641758361
1170 , 0.06205402414549366
1180 , 0.060507814545231395
1190 , 0.05902272837619833
1200 , 0.05760402855048953
1210 , 0.056235484637891985
1220 , 0.05493069959489905
