Epoka , blad_glowny 
1 , 0.5442547922493465
100 , 0.2686283767087685
200 , 0.23219412502523978
300 , 0.2054649685899649
400 , 0.19157640092912492
500 , 0.18361575894690035
600 , 0.1782103044832981
700 , 0.17420564574141253
800 , 0.1710870771840037
900 , 0.1685690907084844
1000 , 0.16647008731326088
