Epoka , blad_glowny 
1 , 0.5109491098893594
10 , 0.41081371178525466
20 , 0.3722312952196293
30 , 0.34948468784232556
40 , 0.32832926276164714
50 , 0.3082077014670659
60 , 0.29146735866782686
70 , 0.2785616735673272
80 , 0.26890154096261526
90 , 0.26129522107435954
100 , 0.2550249165276197
110 , 0.24966208622820665
120 , 0.24478387008841257
130 , 0.24020160991108386
140 , 0.2359128449263723
150 , 0.23189319826674887
160 , 0.22813062402203876
170 , 0.2245352682774795
180 , 0.2212769033848958
190 , 0.21825163770254405
200 , 0.2154628892313114
210 , 0.2129582441193162
220 , 0.21060905881131117
230 , 0.2084657220843136
240 , 0.2064966317142507
250 , 0.2046522388902667
260 , 0.20293732490449634
270 , 0.20135493780802738
280 , 0.19986942177025407
290 , 0.19849258235598
300 , 0.19718040986625554
310 , 0.19593543139884298
320 , 0.1947591413534947
330 , 0.1936488386877584
340 , 0.19259594196102572
350 , 0.19159581833412628
360 , 0.1906425256287832
370 , 0.18973109409279482
380 , 0.1888675876954195
390 , 0.18803561433440025
400 , 0.18723259644763757
410 , 0.1864781853360108
420 , 0.18574057479051187
430 , 0.18503504435222967
440 , 0.18436125295887118
450 , 0.18370830330501248
460 , 0.18307605384499764
470 , 0.182468577612027
480 , 0.1818783812928717
490 , 0.18131368523181277
500 , 0.18077094080038664
510 , 0.1802376936723314
520 , 0.17972895523316526
530 , 0.17923474578515583
540 , 0.17874741538925124
550 , 0.17828442644807307
560 , 0.17782691560528896
570 , 0.17738810449169065
580 , 0.17696026866055695
590 , 0.17654344187373042
600 , 0.17614455841168514
610 , 0.17574611686976604
620 , 0.17536267117995968
630 , 0.17498904226415704
640 , 0.17462923370584715
650 , 0.17427223823391666
660 , 0.17392572380862426
670 , 0.17358919366277217
680 , 0.17325376281637708
690 , 0.17293140269772192
700 , 0.17261980773049002
710 , 0.17231329702844211
720 , 0.1720085194573819
730 , 0.17171522067889242
740 , 0.1714252663963113
750 , 0.17114567424533017
760 , 0.1708687639676964
770 , 0.17060039628031362
780 , 0.17033099749612815
790 , 0.17007266844437097
800 , 0.16981697523308564
810 , 0.16956813030546394
820 , 0.16932266633697235
830 , 0.1690867309253898
840 , 0.16884831001691422
850 , 0.1686165920948839
860 , 0.16839161572993633
870 , 0.16816668835290202
880 , 0.16794704157729226
890 , 0.1677339735456691
900 , 0.1675213104082916
910 , 0.16731491148056937
920 , 0.16711245997143115
930 , 0.16690991432950483
940 , 0.1667106022558521
950 , 0.1665171617649839
960 , 0.16632611441512762
970 , 0.16613811960903502
980 , 0.16595364556983108
990 , 0.16577153321541865
1000 , 0.16559441558171464
1010 , 0.16541572963652423
1020 , 0.16524187447159538
1030 , 0.1650706331484979
1040 , 0.16490402646276373
1050 , 0.16473699893235455
1060 , 0.1645715127494237
1070 , 0.1644100900090794
1080 , 0.16425256098458754
1090 , 0.16409645554742075
1100 , 0.1639393526415371
1110 , 0.1637861584854551
1120 , 0.1636362734738971
1130 , 0.16348935707081866
1140 , 0.16334136400485713
1150 , 0.16319841268233176
1160 , 0.16305523603950442
1170 , 0.16291450923231318
1180 , 0.16277475356845536
1190 , 0.16263983651114602
1200 , 0.1625044334411753
1210 , 0.1623691362717053
1220 , 0.16223605704857122
1230 , 0.16210769962461383
1240 , 0.16197835291888227
1250 , 0.16185176739526516
1260 , 0.1617261328795677
1270 , 0.16160062201490757
1280 , 0.1614787103621656
1290 , 0.1613572064244987
1300 , 0.1612369215525643
1310 , 0.16112045228613697
1320 , 0.1610021758446109
1330 , 0.1608870111192497
1340 , 0.16077131197612118
1350 , 0.16065864344959033
1360 , 0.16054813212298655
1370 , 0.16043747455667676
1380 , 0.16032687911467025
1390 , 0.16021917228173815
1400 , 0.1601126584230554
1410 , 0.16000492288498497
1420 , 0.1599013121722269
1430 , 0.15979818976917204
1440 , 0.15969444768995966
1450 , 0.15959223675980894
1460 , 0.15949236979784073
1470 , 0.15939171695352805
1480 , 0.1592954960238104
1490 , 0.159198020929797
1500 , 0.1590998486293921
1510 , 0.15900489209596427
1520 , 0.15891082614728608
1530 , 0.15881661720890436
1540 , 0.15872385569808195
1550 , 0.15863183986140647
1560 , 0.15854099615452555
1570 , 0.15845188888590545
1580 , 0.1583605280201708
1590 , 0.158273173369602
1600 , 0.15818656573370418
1610 , 0.15809976634388703
1620 , 0.15801267199710656
1630 , 0.157927588829601
1640 , 0.15784412202286913
1650 , 0.1577584604733037
1660 , 0.15767554869965406
1670 , 0.15759493749363424
1680 , 0.15751349205403026
1690 , 0.15743174972282326
1700 , 0.15735216563189003
1710 , 0.157272941299611
1720 , 0.15719422826450147
1730 , 0.15711537401739303
1740 , 0.15703809956889767
1750 , 0.15696197178817484
1760 , 0.15688599793437777
1770 , 0.1568120412994628
1780 , 0.15673732794857348
1790 , 0.15666137209604128
1800 , 0.15658788113051442
1810 , 0.1565159214944602
1820 , 0.1564431554639828
1830 , 0.15637145023399995
1840 , 0.1563016655622883
1850 , 0.15622978003668794
1860 , 0.1561602354994319
1870 , 0.1560907314374624
1880 , 0.15602143721480233
1890 , 0.15595352191011555
1900 , 0.15588652985176385
1910 , 0.15581794220825812
1920 , 0.15575155462297888
1930 , 0.15568576714530674
1940 , 0.15561955425720223
1950 , 0.1555542679887354
1960 , 0.15549030618438126
1970 , 0.15542515522022826
1980 , 0.15536136021708138
1990 , 0.15529763212729977
2000 , 0.15523514550975126
